Mittwoch, 13.Februar 2019	100.7		20190213
Donnerstag, 14.Februar 2019	99.3		20190214
Freitag, 15.Februar 2019	101.0		20190215
Samstag, 16.Februar 2019	100.3		20190216
Sonntag, 17.Februar 2019	99.7		20190217
Montag, 18.Februar 2019	100.1		20190218
Dienstag, 19.Februar 2019	100.1		20190219
Mittwoch, 20.Februar 2019	100.1		20190220
Donnerstag, 21.Februar 2019	101.8		20190221
Freitag, 22.Februar 2019	101.7		20190222
Samstag, 23.Februar 2019	100.7		20190223
Sonntag, 24.Februar 2019	100.4		20190224
Montag, 25.Februar 2019	100.4		20190225
Dienstag, 26.Februar 2019	101.3		20190226
Mittwoch, 27.Februar 2019	101.3		20190227
Donnerstag, 28.Februar 2019	101.3		20190228
Freitag, 01.März 2019	102.3		20190301
Samstag, 02.März 2019	101.3		20190302
Sonntag, 03.März 2019	100.7		20190303
Montag, 04.März 2019	101.2		20190304
Dienstag, 05.März 2019	102.5		20190305
Mittwoch, 06.März 2019	101.6		20190306
Donnerstag, 07.März 2019	101.2		20190307
Freitag, 08.März 2019	101.1		20190308
Samstag, 09.März 2019	101.1		20190309
Sonntag, 10.März 2019	101.7		20190310
Montag, 11.März 2019	102.2		20190311
Dienstag, 12.März 2019	101.4		20190312
Mittwoch, 13.März 2019	101.8		20190313
Donnerstag, 14.März 2019	101.8		20190314
Samstag, 16.März 2019	101.5		20190316
Freitag, 15.März 2019	102.5		20190315
Sonntag, 17.März 2019	101.5		20190317
Montag, 18.März 2019	101.5		20190318
Dienstag, 19.März 2019	101.5		20190319
Mittwoch, 20.März 2019	101.5		20190320
Donnerstag, 21.März 2019	101.5		20190321
Freitag, 22.März 2019	101.5		20190322
Samstag, 23.März 2019	101.5		20190323
Sonntag, 24.März 2019	101.5		20190324
Montag, 25.März 2019	101.5		20190325
Dienstag, 26.März 2019	101.5		20190326
Mittwoch, 27.März 2019	101.5		20190327
Donnerstag, 28.März 2019	101.5		20190328
Freitag, 29.März 2019	100.4		20190329
Samstag, 30.März 2019	100.0		20190330
Sonntag, 31.März 2019	100.8		20190331
Montag, 01.April 2019	101.5		20190401
Mittwoch, 03.April 2019	102.4		20190403
Donnerstag, 04.April 2019	102.6		20190404
Freitag, 05.April 2019	103.1		20190405
Samstag, 06.April 2019	101.6		20190406
Sonntag, 07.April 2019	101.6		20190407
Montag, 08.April 2019	101.6		20190408
Dienstag, 09.April 2019	101.3		20190409
Mittwoch, 10.April 2019	101.3		20190410
